id,created_at,created_at_tz,geo,place,coordinates,text,text_en,truncated,name,screen_name
1460458947740057600,2021-11-16 04:05:21,2021-11-16 05:05:21+01:00,,,,ESWEEBusFlotte Auf über 1 Mio Fahrtkilometern über 1 Mio kg CO2 eingespart ,"ESWEEBusFleet Over 1 million kilometres travelled, over 1 million kg of CO2 saved",False,busplaner,omnibusmagazin
1460470129050124288,2021-11-16 04:49:47,2021-11-16 05:49:47+01:00,,,, Lasst die Leute doch in Ruhe und selbst entscheiden wie wir das bei jeder anderen Impfung auch tun un , Let the people alone and decide for themselves like we do with every other vaccination.,True,Deutschland im liberalen Chaos,BRDimChaos
1460481161637949440,2021-11-16 05:33:38,2021-11-16 06:33:38+01:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leu "," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the leu",True,Deutschland im liberalen Chaos,BRDimChaos
1460481230361665536,2021-11-16 05:33:54,2021-11-16 06:33:54+01:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leute "," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the people",True,Deutschland im liberalen Chaos,BRDimChaos
1460481386469486336,2021-11-16 05:34:31,2021-11-16 06:34:31+01:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leu "," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the leu",True,Deutschland im liberalen Chaos,BRDimChaos
1460485553762311936,2021-11-16 05:51:05,2021-11-16 06:51:05+01:00,,,,Kelly Family geht mit legendärem Bus auf Tour  und hat eine Überraschung parat ,Kelly Family goes on tour with legendary bus and has a surprise up its sleeve,False,WEB.DE News,WEBDENews
1460485554601082880,2021-11-16 05:51:05,2021-11-16 06:51:05+01:00,,,,Kelly Family geht mit legendärem Bus auf Tour  und hat eine Überraschung parat ,Kelly Family goes on tour with legendary bus and has a surprise up its sleeve,False,WEB.DE News - Stars,WEBDENews_Stars
1460508866848907264,2021-11-16 07:23:43,2021-11-16 08:23:43+01:00,,,,2nd_Bass    Daß hier in amp um München die Bus  TrambahnfahrerInn ,2nd_Bass That here in amp around Munich the bus tram driversInn,True,Regina Koller,KollerRegina
1460511244788588288,2021-11-16 07:33:10,2021-11-16 08:33:10+01:00,,,,"Probleme mit Alkohol Im Meeting Arcis Anonyme Alkoholiker sprechen wir darüber jeden Samstag um 1900 Uhr 

Mün ","Problems with alcohol At the Arcis Alcoholics Anonymous meeting we talk about this every Saturday at 1900 hrs.

Mün",True,@bill&bob,arcismeeting
1460513105780355072,2021-11-16 07:40:34,2021-11-16 08:40:34+01:00,,,,Söder um 9 Uhr bei BILD Live  Lockdown für Ungeimpfte  Muenchen Nachrichten,Söder at 9 o'clock at BILD Live Lockdown for unvaccinated Muenchen News,False,BILD München,BILD_Muenchen
1460525712608223232,2021-11-16 08:30:39,2021-11-16 09:30:39+01:00,,,," Hier kommt das Neueste aus unserer Redaktion 
The Kelly Family geht mit berühmtem Bus wieder auf Tour
"," Here comes the latest from our editorial office
The Kelly Family goes on tour again with famous bus
",False,spot on news,spotonnews
1460526265757229056,2021-11-16 08:32:51,2021-11-16 09:32:51+01:00,,,,3G im Zug Wer soll das kontrollieren  Scheuer fährt Söder in die Parade ,3G in the train Who should control it Scheuer drives Söder into the parade,False,Merkur.de,merkur_de
1460527751836884736,2021-11-16 08:38:45,2021-11-16 09:38:45+01:00,,,,3G im Zug Wer soll das kontrollieren  Scheuer fährt Söder in die Parade ,3G in the train Who should control it Scheuer drives Söder into the parade,False,Rolf Ullrich,rolfullrich45
1460530267223899904,2021-11-16 08:48:45,2021-11-16 09:48:45+01:00,,,,Einmal unabhängig von 3GRegel in Bus u Bahn Wichtig wäre dass das Vertrauen der Menschen in den Öffentlichen Ve ,Once independent of 3G rule in bus and train Important would be that the confidence of the people in the public Ve,True,ADAC,ADAC
1460543162686992384,2021-11-16 09:40:00,2021-11-16 10:40:00+01:00,,,, AGK ServiceMobile im Einsatz  ServiceAufenthalte in der Werkstatt kosten viel Zeit Um unseren Kunden lange A ," AGK ServiceMobiles in use Service stops in the workshop cost a lot of time In order to provide our customers with long service times, AGK ServiceMobiles are used.",True,AGK Truck & Bus GmbH,AGK_Bayern
