id,created_at,geo,place,coordinates,text,truncated,name,screen_name,text_en
1460458947740057604,2021-11-16 04:05:21+00:00,,,,ESWEEBusFlotte Auf über 1 Mio Fahrtkilometern über 1 Mio kg CO2 eingespart ,False,busplaner,omnibusmagazin,"ESWEEBusFleet Over 1 million kilometres travelled, over 1 million kg of CO2 saved"
1460470129050124289,2021-11-16 04:49:47+00:00,,,, Lasst die Leute doch in Ruhe und selbst entscheiden wie wir das bei jeder anderen Impfung auch tun un ,True,Deutschland im liberalen Chaos,BRDimChaos, Let the people alone and decide for themselves like we do with every other vaccination.
1460481161637949443,2021-11-16 05:33:38+00:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leu ",True,Deutschland im liberalen Chaos,BRDimChaos," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the leu"
1460481230361665541,2021-11-16 05:33:54+00:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leute ",True,Deutschland im liberalen Chaos,BRDimChaos," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the people"
1460481386469486598,2021-11-16 05:34:31+00:00,,,," Woher kommen plötzlich all diese Hallo ich bin und hatte Corona Propaganda Postings

Lasst die Leu ",True,Deutschland im liberalen Chaos,BRDimChaos," Where are all these hello I am and had Corona propaganda postings suddenly coming from

Let the leu"
1460485553762312196,2021-11-16 05:51:05+00:00,,,,Kelly Family geht mit legendärem Bus auf Tour  und hat eine Überraschung parat ,False,WEB.DE News,WEBDENews,Kelly Family goes on tour with legendary bus and has a surprise up its sleeve
1460485554601082881,2021-11-16 05:51:05+00:00,,,,Kelly Family geht mit legendärem Bus auf Tour  und hat eine Überraschung parat ,False,WEB.DE News - Stars,WEBDENews_Stars,Kelly Family goes on tour with legendary bus and has a surprise up its sleeve
1460508866848907266,2021-11-16 07:23:43+00:00,,,,2nd_Bass    Daß hier in amp um München die Bus  TrambahnfahrerInn ,True,Regina Koller,KollerRegina,2nd_Bass That here in amp around Munich the bus tram driversInn
1460511244788588548,2021-11-16 07:33:10+00:00,,,,"Probleme mit Alkohol Im Meeting Arcis Anonyme Alkoholiker sprechen wir darüber jeden Samstag um 1900 Uhr 

Mün ",True,@bill&bob,arcismeeting,"Problems with alcohol At the Arcis Alcoholics Anonymous meeting we talk about this every Saturday at 1900 hrs.

Mün"
1460513105780355076,2021-11-16 07:40:34+00:00,,,,Söder um 9 Uhr bei BILD Live  Lockdown für Ungeimpfte  Muenchen Nachrichten,False,BILD München,BILD_Muenchen,Söder at 9 o'clock at BILD Live Lockdown for unvaccinated Muenchen News
1460525712608223233,2021-11-16 08:30:39+00:00,,,," Hier kommt das Neueste aus unserer Redaktion 
The Kelly Family geht mit berühmtem Bus wieder auf Tour
",False,spot on news,spotonnews," Here comes the latest from our editorial office
The Kelly Family goes on tour again with famous bus
"
1460526265757229057,2021-11-16 08:32:51+00:00,,,,3G im Zug Wer soll das kontrollieren  Scheuer fährt Söder in die Parade ,False,Merkur.de,merkur_de,3G in the train Who should control it Scheuer drives Söder into the parade
1460527751836884994,2021-11-16 08:38:45+00:00,,,,3G im Zug Wer soll das kontrollieren  Scheuer fährt Söder in die Parade ,False,Rolf Ullrich,rolfullrich45,3G in the train Who should control it Scheuer drives Söder into the parade
1460530267223900164,2021-11-16 08:48:45+00:00,,,,Einmal unabhängig von 3GRegel in Bus u Bahn Wichtig wäre dass das Vertrauen der Menschen in den Öffentlichen Ve ,True,ADAC,ADAC,Once independent of 3G rule in bus and train Important would be that the confidence of the people in the public Ve
1460543162686992387,2021-11-16 09:40:00+00:00,,,, AGK ServiceMobile im Einsatz  ServiceAufenthalte in der Werkstatt kosten viel Zeit Um unseren Kunden lange A ,True,AGK Truck & Bus GmbH,AGK_Bayern," AGK ServiceMobiles in use Service stops in the workshop cost a lot of time In order to provide our customers with long service times, AGK ServiceMobiles are used."
1460558262135181312,2021-11-16 10:40:00+00:00,,,," Ihre Buswerkstatt in Feldkirchen bei München und Fürth
 Wartung 
 Reparatur 
 VorOrtService  Ku ",True,AGK Truck & Bus GmbH,AGK_Bayern," Your bus workshop in Feldkirchen near Munich and Fürth
 Maintenance
 Repair
 On-site service Ku"
1460565937887793159,2021-11-16 11:10:30+00:00,,,,RenaultHyvia Auch Master CityBus und Fahrgestell mit Fuel Cell ,False,VISION mobility,VISIONmobility1,RenaultHyvia Also Master CityBus and chassis with Fuel Cell
1460588288843124738,2021-11-16 12:39:19+00:00,,,,So 15 min auf den Bus warten ,False,Mammut69💉💉,Mammut691,So 15 min wait for the bus
1460610984561811470,2021-11-16 14:09:30+00:00,,,,Menschen die beim Bus vorne beim Fahrer einsteigen und ihre Fahrkarte vorzeigen Weiß man da schon genaueres münchen,False,"mal faul, mal Tier. Immer 🌈🏳️‍🌈💉💉",malfaulmaltier,People who get on the bus in front of the driver and show their ticket Do you know more about it munich
1460700147055316994,2021-11-16 20:03:48+00:00,,,,  Ui ich war bisher auf Bus aber Hurtigruten ist natürlich eine ganz tolle Idee,False,berghungrig 🇪🇺,berghungrig,  Ui I was so far on bus but Hurtigruten is of course a great idea
1460701429979566080,2021-11-16 20:08:54+00:00,,,,Verkehrsministerin KerstinSchreyer in der 24 Rundschau zu 3G in Bus und Bahn Der Schutz der Fahrgäste im ,True,"Staatsministerium für Wohnen, Bau und Verkehr",BauenBewegen,Transport Minister KerstinSchreyer in the 24 Rundschau on 3G in buses and trains The protection of passengers in the
1460702751046918144,2021-11-16 20:14:09+00:00,,,, Ist immer noch so Ab Bodø dann Bus ,False,berghungrig 🇪🇺,berghungrig, Is still so From Bodø then bus
1460703714616950788,2021-11-16 20:17:58+00:00,,,,   Tja Ich würde mal sagen Bus verpasst,False,Thomas Böttiger 🏳️‍🌈,macinthemiddle,"   Well, I'd say we missed the bus."
1460718090036129793,2021-11-16 21:15:06+00:00,,"{'id': '37439688c6302728', 'url': 'https://api.twitter.com/1.1/geo/id/37439688c6302728.json', 'place_type': 'city', 'name': 'Munich', 'full_name': 'Munich, Germany', 'country_code': 'DE', 'country': 'Germany', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]}, 'attributes': {}}",,  Auswärts in Dortmund wenn dort auch 2G kommt wird es dann schon schwieriger Oder sie sch ,True,Quintuple-Sandy,Robben25052013,  Away in Dortmund if there also 2G comes it will then already more difficult Or they sch
